Iter,MPI_error,Jacobi_error,GaussSeidel_error,Chebyshev_error
193,10.137879,7.492240,1.954961,358474167853164907930620377955833404636719812564082819811433681500235316544226450597494648684819196088714016358948576180525955579330735561532732901418524319844115575070909863357841408.000000
194,10.086317,7.404908,1.915447,3208616786326128489837686421116262789929699337231361266412889952227888349638396896490637925264087618440426972639854368498036025769310402271401111390664105166336036278443317379953852416.000000
195,10.034960,7.328947,1.876840,28720047063356855023876711840485975031644407213890545212102460209433021039677082439793010231688751017096393467247818535933764537405029944250255995769219616344952403074682436380327411712.000000
196,9.983809,7.242103,1.838999,257074930986380186094204626445495835944041717017166618568765652724313493268879492528972859750609419057156059041271362313452711512099360320157899564646284072501134189783747598085131337728.000000
197,9.932865,7.169053,1.801909,2301132188489385771518113183178368649218032251205355161361290573215936850125526284524922388597595690157255544294845629882371427667527899505767881686779868185766851062378287038240477151232.000000
198,9.882130,7.086394,1.765554,20603511511144972791377381829931286660838381303162018347332513606725836595422048876556006328219110002755479125859664375668025281506895004500542176289821012317255628638151261368156659122176.000000
199,9.831602,7.012498,1.729922,184519921256573099016131460330296421405472126142142762892826331809157229447424448647581880085534962612008122904688780206809640304468754795569187082266259758164222017786390947621052457418752.000000
200,9.781285,6.933863,1.694998,1652534039365184741629943031183390392067502063814000198674612302935419268155582109745660043661614504985845470265704162197879594378355997684274157953405966890523747030860565221320700266020864.000000
201,9.731178,6.859224,1.660769,14800033829706201419702471787130809643191733998380305214595485498112524730847096087732581596737206644805135162883759807420916407710283786674258751436139701953989888614792423317199507588907008.000000
202,9.681283,6.784456,1.627307,132550126182073918097272583745150005501207325901166672023003315408147602077709993915530914398685978611541022831699554369467433893685104207246098220784192707715559369808182512800998166336897024.000000
203,9.631600,6.709172,1.594521,1187142157618588612587901794544934534187010775775997757368152202674970537383503604562773065636459172331605449573725259142420237425965071718920907226944512877156149901953067446133177250612248576.000000
204,9.582129,6.638121,1.562386,10632379173797528550355435364755298465785780179363317338649705639817158323956151976865240403550150966903555422532811823492744724530276278879537861044139588082821044210377976417289952890688897024.000000
205,9.532871,6.562283,1.530889,95227707732402894283780563850822811350559220458129560382364140154357005523882962122103708246819421593904914361203431418726975938614130312278222606311310987940348029585030993909804856984788271104.000000
206,9.483827,6.494803,1.500018,852906354499216971765104178253129964916719502252461788436829040612786202735445207498208163921019052583277118700089507450373111378409784536043794757330909810196013144304585390492774847193219596288.000000
207,9.434998,6.418774,1.469761,7639140787043675719826324009306833791577979767896444224412230525726579349369228510572623816544578026017271378393054372016607451982793323204193338689669588949572162871251628708602777538418742132736.000000
208,9.386383,6.354450,1.440105,68421536115628413487631343096746176535175476944424429272631502446958581520262941216036561729967086283096624394945815109571426862295329048583808581737584940402197502341006907657959870797702164905984.000000
209,9.339781,6.281851,1.411087,612838817711678084749282592501979486525579880315357386894903965438381885113040586237568894756273943949449727811441691266967526361950024553286093120654005332357549171426279376990476773847347520077824.000000
210,9.294129,6.217009,1.382677,5489146835816390654403606471878094094891172049340834866728373802220441237634006644299016935686021856370099109602406641307713930055904831194002223708029115044772141934240021851895444328801045825191936.000000
211,9.248651,6.147714,1.354832,49166417359080111473971166851770240705197451573915406897424016849505406636716922844384301463960506431290359132849181419208710089213738033438037676347438107570591027006466952581937559420475064895668224.000000
212,9.203349,6.082427,1.327541,440389957351786369351320702450526264100160676333019828400505438321505335214671372018902995886961337012369312761590312965344034434531904571819944223883003495085037149467290227774075572203174066909085696.000000
213,9.158222,6.016313,1.300791,3944676324350454750924416625865887430500697258172514009088871974566278700444932148043880763694265283089278799610127828371138405402833670839046234587733376666765673344106188963063296723814342371462610944.000000
214,9.113272,5.950653,1.274574,35333809088408577061892880950627326936732663203742892628680576390296553678640754989558682377553559028196940271033059390078539164015939629234756964642468738975742923782087034172788072419202275008663519232.000000
215,9.068500,5.887603,1.248878,316500685407553512246624506769680168015675646076340479100411061282559355597253688585468688956867074509525292968165409417436167861786088586244546898577620068919911061369282854125275414094727489685727215616.000000
216,9.023905,5.821635,1.223702,2835071114080402062774163049026948642275087299672908136972121854854332962495325632265745941845205116008675534448480565411542828607412653903321205534046946163482919543234735374009259522228104581051043545088.000000
217,8.979488,5.761533,1.199082,25395592980397062308893139711590234096894041841879864146967610731939330641820212489295078081943106416702993431731981479674274509372515487178695134979493012008862876193580262845476382213777070269856185581568.000000
218,8.935250,5.695322,1.174952,227487663473886410886726106738271601142202984430920283352253047452157170765048039950796792497187645105801087322592221870319804582610152869629604891715134896034432361006864795532968583692029731966289650384896.000000
219,8.891191,5.638058,1.151301,2037804071988872320653139809028800057771833251544939052116526170594714077989212650383436599028108606917188337636779072573249513954266557866623582697432066272514927367093635344709210295099703380071431998013440.000000
220,8.847312,5.574053,1.128121,18254589728573322622889174971419485530204032299115330702335073183753126788724839272947919282346559112985208307496312245763867971581905457446417873292179439239611332801527948607798288300479052961194848592855040.000000
221,8.803612,5.517130,1.105401,163525992697855768012221082657191028915772065352086944542188230796523584958757361698464509174507476439794032801316748317019688612174150910837474453562961065068504957091660936578240320440853530507181082711949312.000000
222,8.760094,5.455860,1.083134,1464895245737908469436195117352871220954119221650237422240488982397249879267471130287568033447381148530390231130411459958018350812499987975154701631599228055174934637966618165023538054035167349678219634856165376.000000
223,8.716755,5.398703,1.061309,13122947553456370766687426590946628938259223529093209189245538767835724579289349689297142428487596481279880207534989403084428029300411063074451870050102549879599600723974272439760884900399686691274188882744180736.000000
224,8.673598,5.340071,1.039946,117560454229004816508686684146969804677656213463449324848589299242543708192106762177860597627324595184604586558256749536928115698736080359386311319596112673457274751618996291895678773715906482625082503504955703296.000000
225,8.630622,5.282731,1.019032,1053164341886967844268012078265724410740486036989374982421767182161979533894845446182716276981445120661753267773571574841175767990948270366771267032658082193239661591115090996233362969035665005722828054822771490816.000000
